Id,Genre,Allemand,Français,Papier,Anki,Besoin plus d'info,Catégorie 1,Catégorie 2
2,die,Ente,le canard,true,,,Nom,
3,,starten,démarrer,true,,,Verbe,
4,,gerade,tout droit (ou nombres pairs),true,,,,
5,die,Art,la sorte,true,,,Nom,
6,,niedrig,bas. Peu élevé,true,,,,
7,die,Tastatur,le clavier,true,,,Nom,
8,,gucken,regarder (zieuter),true,,,Verbe,
9,der,Schmetterling,le papillon,true,,,Nom,
10,,wild,sauvage,true,,,,
11,,überreden,Persuader,true,,,Verbe,
12,die,Schiene,le rail,true,,,Nom,
13,,gelb,jaune,true,,,,
14,die,Achterbahn,la montagne russe,true,,,Nom,
15,die,Kugel,la balle,true,,,Nom,
16,,paddeln,pagailler,true,,,Verbe,
17,das,Boot,le bateau,true,,,Nom,
18,,mieten,louer,true,,,Verbe,
19,der,Fortschritt,le progrès,true,,,Nom,
20,,manch,autant que,true,,,,
21,,stets,tout le temps / chaque fois / pour toujours,true,,,,
22,die,Funktion,la fonction,true,,,Nom,
23,,funktionieren,fonctionner,true,,,Verbe,
24,die,Fitness,"le fitness, la condition physique",true,,,Nom,
25,das,Fitnesstraining,le workout,true,,,Nom,
26,,ruhig,calme,true,,,,
27,die,Rezeption,"la réception, (dans le sens ""help desk"")",true,,,Nom,
28,,Fern-,"préfixe : ""à longue porté""",true,,,,
29,der,Fernseher,la télévision,true,,,Nom,
30,der,Ausflug,"l'execursion, le voyage",true,,,Nom,
31,der,Buchladen,la librairie (bookshop),true,,,Nom,
32,die,Bar,le bar,true,,,Nom,
33,der,Strand,la plage,true,,,Nom,
34,der,Pass,le passeport,true,,,Nom,
35,das,DoppelZimmer,la chambre double,true,,,Nom,
36,,Doppel-,préfixe : double,true,,,,
37,das,Einzelzimmer,La chambre simple,true,,,Nom,
38,,einzel,simple. unique. (tennis en simple. Chambre simple (vs chambre double)),true,,,,
39,,pflanzen,planter,true,,,,
40,die,Pflanze,la plante,true,,,Nom,
41,die,Decke,la couverture,true,,,Nom,
42,,rot,rouge,true,,,,
43,die,Mikrowelle,le micro onde,true,,,Nom,
44,das,Esszimmer,la salle à manger,true,,,Nom,
45,die,Blumen,les fleurs,true,,,Nom,
46,die,Blume,la fleur,true,,,Nom,
47,das,Wohnzimmer,le living,true,,,Nom,
48,der,Kaffeetisch,la table basse (coffee table),true,,,Nom,
49,das,Sofa,le canapé,true,,,Nom,
50,die,Vase,le vase,true,,,Nom,
51,die,Nachbarin,la voisine,true,,,Nom,
52,,wohnen,habiter,true,,,Verbe,
53,das,Mehrfamilienhause,l'immeuble,true,,,Nom,
54,,zurzeit,Aujourd'hui. ces jours ci. en ce moment,true,,,,
55,die,Treppe,les escaliers,true,,,Nom,
56,,mal,"le nombre de fois. fois. en anglais : ""times""",true,,,,
57,die,Kundin,la cliente,true,,,Nom,
58,,gemeinsam,mutuel. joint. en commun,true,,,,
59,,lösen,délacer (un lacet),true,,,Verbe,
60,,besondere,spécial. Particulier,true,,,,
61,,besonderes,spécial. Particulier,,,plus de détails,,
62,,dabei,par conséquent,true,,,,
63,,danach,après. Par conséquent. Conséquemment (adverbe),true,,,,
64,,sollen,devoir. devrait (should),true,,Fiche verbe à faire,Verbe,Modalité
65,,begrüßen,saluer,true,,,Verbe,
66,,Reparieren,réparer,true,,,Verbe,
67,das,Angebot,L'offre,true,,,Nom,
68,,führen,promener un chien. Guider,true,,,Verbe,
69,das,Flugzeug,l'avion,true,,,Nom,
70,,anderthalb,1 et demi,true,,,,
71,das,Abendbrot,souper (léger),true,,,Nom,
72,,fern,distant,true,,,,
73,die,Regel,la règle (grammaire. loi),true,,,Nom,
74,das,Studium,les études,true,,,Nom,
75,das,Studio,un studio (logement),true,,,Nom,
76,,tagsüber,durant la journée,true,,,,
77,,selten,rare. Peu fréquemment,true,,,,
78,der,Feier,la fête,true,,,Nom,
79,der,Feierabend,la fin de la journée de travail,true,,,Nom,
80,der,Unterricht,l'enseignement,true,,,Nom,
81,,unterrichten,instruire. Enseigner,true,,,Verbe,
82,die,Besprechung,le débriefing. la critique. Le débat,true,,,Nom,
83,,anfangen,commencer (ouvrir. Ouvrir une conversation par ex.),true,,,Verbe,
84,der,Anfang,Le début. Le commencement,true,,,Nom,
85,,vereinbar,correspondant. Congruant,true,,,,
86,,vereinbaren,arranger,true,,,Verbe,
87,,anrufen,téléphoner,true,,,Verbe,Particule séparable
88,der,Hahn,le coq,true,,,Nom,
89,der,Reis,le riz,true,,,Nom,
90,die,Nudel,la nouille,true,,,Nom,
91,die,Nudeln,les nouilles (pluriel),true,,,Nom,
92,die,Chefin,la cheffe,true,,,Nom,
93,der,Chef,le chef,true,,,Nom,
94,die,Schinkenwurst,la saucisse de jambon,true,,,Nom,
95,die,Tasse,la tasse,true,,,Nom,
96,,treffen,rencontrer,true,,,Verbe,
97,das,Müsli,le musli,true,,,Nom,
98,die,Banane,la banane,true,,,Nom,
99,,würzen,assaisonner,true,,,Verbe,
100,die,Produkte,les produits (pluriel),true,,,Nom,
101,das,Produkt,le produit,true,,,Nom,
102,,schälen,éplucher,true,,,Verbe,
103,das,Schälen,l'épluchure,true,,,Nom,
104,,seltsam,étrange. Particulier. non ordinaire,true,,,,
105,der,Gebrauch,l'usage. l'emploi,true,,,Nom,
106,die,Erfindung,l'invention,true,,,Nom,
107,das,Kunstwerk,l'oeuvre d'art,true,,,Nom,
108,das,Bild,le tableau. Le dessin,true,,,Nom,
109,,hoch,haut. aigu. (math) puissance,true,,,,
110,das,Hoch,l'ovation,,,,Nom,
111,,Hochschule,,,,à compléter,,
112,der,Einwohner,l'habitant,true,,,Nom,
113,die,Einwohnerin,l'habitante,true,,,Nom,
114,die,Gäste,(pl) les visiteurs,true,,,Nom,
115,der,Gast,l'invité. Le visiteur,true,,,Nom,
116,das,Pfund,la livre (ex : sterling),true,,,Nom,
117,die,Zwiebeln,les oignons,true,,,Nom,
118,das,Messer,le couteau,true,,,Nom,
119,die,Zwiebel,l'oignon,true,,,Nom,
120,,sein,être,true,,,Verbe,Irrégulier
121,,ausgezeichnet,excellent,true,,,,
122,das,Jahr,l'année,true,,,Nom,
123,,letzte,dernier,true,,,,
124,das,Letzte,,,,à voir plus en détail,Nom,
125,die,Auswahl,le choix,true,,,Nom,
126,das,Gemüse,le légume,true,,,Nom,
127,,bitter,amer,true,,,,
128,,hässlich,laid,true,,,,
129,,roh,cru,true,,,,
130,,frisch,frais,true,,,,
131,,sauer,sûr (goût),true,,,,
132,,scharf,Piquant (goût). Tranchant. Pointu.,true,,,,
133,die,Schärfe,le tranchant (sharpness),,,,Nom,
134,der,Saft,Le jus,true,,,Nom,
135,die,Salami,le salami,true,,,Nom,
136,,pro,par (1 fois par semaine),true,,,,
137,der,Abend,le soir,true,,,Nom,
138,die,Traube,La grappe,true,,,Nom,
139,,Haupt-,Suffixe : principal,true,,,,
140,,reichlich,Beaucoup,true,,,,
141,,früh,tôt,true,,,,
142,die,Pommes,les frites (pl),true,,,Nom,
143,,schmecken,"goûter (""it tastes"" of x)",true,,,Verbe,
144,,Leute,les gens,true,,genre,,
145,der/das,Band,le ruban. Le lien. (la bande),true,,,Nom,
146,die,Bande,la bande (de musique),true,,,Nom,
147,die,Musik,la musique,true,,,Nom,
148,das,Riesenrad,la grand roue,true,,,Nom,
149,das,Herz,le coeur,true,,,Nom,
150,,uns,nous,true,,,,
151,,dich,toi,true,,,,
152,der,Monat,le mois (période. ça prend un mois),true,,,Nom,
153,die,Monate,les mois (période. ça prend plusieurs mois),true,,,Nom,
154,der,Mond,la lune,true,,,Nom,
155,der,September,Septembre,true,,,Nom,
156,der,Beginn,le début,true,,,Nom,
157,,beginnen,commencer,true,,,Verbe,
158,das,Ende,la fin,true,,,Nom,
159,,enden,terminer,true,,,Verbe,
160,das,Fest,la fête,true,,,Nom,
161,das,Oktoberfest,l'oktoberfest,true,,,Nom,
162,der,Oktober,octobre,true,,,Nom,
163,,belieben,rendre heureux,true,,,Verbe,
164,der,Kräutertee,la tisane,true,,,Nom,
165,,Kräuter-,,,,à compléter,,
166,,Lachs,,,,à compléter,,
167,,Scheibe,,,,à compléter,,
168,,Scheiben,,,,à compléter,,
169,,gekocht,,,,à compléter,,
170,,Schinken,,,,à compléter,,
171,,Joghurt,,,,à compléter,,
172,,Früchte,,,,à compléter,,
173,,Besteck,,,,à compléter,,
174,,Teller,,,,à compléter,,
175,,Büfett,,,,à compléter,,
176,,bei,,,,à compléter,,
177,,beim,,,,à compléter,,
178,,Dankeschön,,,,à compléter,,
179,,weil,,,,à compléter,,
180,,Kühlschrank,,,,à compléter,,
181,,kühl,,,,à compléter,,
182,,Ort,,,,à compléter,,
183,,komisch,,,,à compléter,,
184,,Hausaufgabe,,,,à compléter,,
185,,kennen,,,,à compléter,,
186,,beliebt,,,,à compléter,,
187,,Dinosaurier,,,,à compléter,,
188,,Regale,,,,à compléter,,
189,,Schlüssel,,,,à compléter,,
190,,Brille,,,,à compléter,,
191,,Stift,,,,à compléter,,
192,,Auto,,,,à compléter,,
193,,Werk,,,,à compléter,,
194,,Firma,,,,à compléter,,
195,,Feiertag,,,,à compléter,,
196,,freundlich,,,,à compléter,,
197,,Kanadier,,,,à compléter,,
198,,Deutsche,,,,à compléter,,
199,,Amerikanerin,,,,à compléter,,
200,,Amerikaner,,,,à compléter,,
201,,intelligent,,,,à compléter,,
202,,Monate,,,,à compléter,,
203,,fast,,,,à compléter,,
204,,Mädchen,,,,à compléter,,
205,,Baby,,,,à compléter,,
206,,Geschichte,,,,à compléter,,
207,,Psychologe,,,,à compléter,,
208,,Psychologie,,,,à compléter,,
209,,Zahnschmerzen,,,,à compléter,,
210,,Zahn,,,,à compléter,,
211,,gesund,,,,à compléter,,
212,,bleiben,,,,à compléter,,
213,,Bauchschmerzen,,,,à compléter,,
214,,Bauch,,,,à compléter,,
215,,Fieber,,,,à compléter,,
216,,Sechzehn,,,,à compléter,,
217,,Siebzehn,,,,à compléter,,
218,,Tablette,,,,à compléter,,
219,,Krankenhaus,,,,à compléter,,
220,,Nacht,,,,à compléter,,
221,,Schlaf,,,,à compléter,,
222,,Durst,,,,à compléter,,
223,,krank,,,,à compléter,,
224,,Licht,,,,à compléter,,
225,,besser,,,,à compléter,,
226,,Plan,,,,à compléter,,
227,,Grillen,,,,à compléter,,
228,,müssen,devoir. Nécessité absolue,true,,,Verbe,Modalité
229,,können,pouvoir. Avoir la capacité de faire,true,,,Verbe,Modalité
230,,wollen,vouloir. Volonté ferme,true,,,Verbe,Modalité
,,,,,,,,
,,Beamter,,,,,,
,,Beamtin,,,,,,
,,zufrieden,,,,,,
,,Schildkröte,,,,,,
,,Reich,,,,,,
,,reich,,,,,,
,,Geschwister,,,,,,
,,Freizeit,,,,,,
,,Kinder,,,,,,
,,Praktikum,,,,,,
,,Praktik,,,,,,
,,Januar,,,,,,
,,Enkelin,,,,,,
,,Enkel,,,,,,
,,Enkelkinder,,,,,,
,,Auge,,,,,,
,,Motorrad,,,,,,
,,arbeitslos,,,,,,
,,Juni,,,,,,
,,Japan,,,,,,
,,Großeltern,,,,,,
,,Großvater,,,,,,
,,Großmutter,,,,,,
,,Dorf,,,,,,
,,Haustier,,,,,,
,,Beamte,,,,,,
,,Beamten,,,,,,
,,warten,,,,,,
,,Ferien,,,,,,
,,Koffer,,,,,,
,,schließen,,,,,,
,,möglich,,,,,,
,,Vorsicht,,,,,,
,,Untergrund,,,,,,
,,Straßenbahn,,,,,,
,,denn,,,,,,
,,Auskunft,,,,,,
,,Ursache,,,,,,
,,vergehen,,,,,,
,,einsteigen,,,,,,
,,aussteigen,,,,,,
,,Kneipe,,,,,,
,,nichts,,,,,,
,,Lieblingsessen,,,,,,
,,Dezember,,,,,,
,,Senf,,,,,,
,,Nuss,,,,,,
,,Allergie,,,,,,
,,backen,,,,,,
,,Backen,,,,,,
,,Knödel,,,,,,
,,Brezel,,,,,,
,,alles,,,,,,
,,Alles,,,,,,
,,Majonäse,,,,,,
,,Sauerkraut,,,,,,
,,Schokolade,,,,,,
,,langsam,,,,,,
,,weniger,,,,,,
,,Spinat,,,,,,
,,Gras,,,,,,
,,Keks,,,,,,
,,Kekse,,,,,,
,,hungrig,,,,,,
,,Grün,,,,,,
,,grün,,,,,,
,,Liter,,,,,,
,,Flaschen,,,,,,
,,Stirn,,,,,,
,,legen,,,,,,
,,untersuchen,,,,,,
,,Ohr,,,,,,
,,Ohrenschmerzen,,,,,,
,,laufen,,,,,,
,,Laufen,,,,,,
,,doch,,,,,,
,,Tankstelle,,,,,,
,,wozu,,,,,,
,,Postkarte,,,,,,
,,Anschluss,,,,,,
,,verpassen,,,,,,
,,abholen,,,,,,
,,glauben,,,,,,
,,Glaube,,,,,,
,,prima,,,,,,
,,freuen,,,,,,
,,aufmachen,,,,,,
,,ausgeben,,,,,,
,,Biergarten,,,,,,
,,Wochenende,,,,,,
,,Personalausweis,,,,,,
,,Horrorfilm,,,,,,
,,Erwaschsene,,,,,,
,,kurz,,,,,,
,,Familie,,,,,,
,,Getränke,,,,,,
,,Geschäft,,,,,,
,,Geschäfte,,,,,,
,,Februar,,,,,,
,,August,,,,,,
,,Verwandte,,,,,,
,,Verwandten,,,,,,
,,Tagebuch,,,,,,
,,über,,,,,,
,,Handschrift,,,,,,
,,Rose,,,,,,
,,Rosen,,,,,,
,,niesen,,,,,,
,,Zoll,,,,,,
,,Visum,,,,,,
,,Aubergine,,,,,,
,,Kugelschreiber,,,,,,
,,Schreiber,,,,,,
,,Formular,,,,,,
,,verboten,,,,,,
,,unterschreiben,,,,,,
,,Unterschrift,,,,,,
,,Unterschriften,,,,,,
,,Lila,,,,,,
,,lila,,,,,,
,,grau,,,,,,
,,Rucksack,,,,,,
,,Kamera,,,,,,
,,Wörterbuch,,,,,,
,,Wörter,,,,,,
,,Schloss,,,,,,
,,besichtigen,,,,,,
,,Tor,,,,,,
,,Tourist,,,,,,
,,Touristin,,,,,,
,,Tourismus,,,,,,
,,Akku,,,,,,
,,leer,,,,,,
,,einladen,,,,,,
,,Schwan,,,,,,
,,Stein,,,,,,
,,wonach,,,,,,
,,Instrument,,,,,,
,,Schatz,,,,,,
,,entspannen,,,,,,
,,Vorname,,,,,,
,,Vornamen,,,,,,
,,Lebenslauf,,,,,,
,,motivieren,,,,,,
,,Nachname,,,,,,
,,Führerschein,,,,,,
,,Hitze,,,,,,
,,vorbei,,,,,,
,,Mensch,,,,,,
,,Hitzewelle,,,,,,
,,eure,,,,,,
,,rauchen,,,,,,
,,Rauchen,,,,,,
,,Raucher,,,,,,
,,Raucherin,,,,,,
,,Pause,,,,,,
,,lang,,,,,,
,,bald,,,,,,
,,kahl,,,,,,
,,endlich,,,,,,
,,werden,,,,,,
,,halt,,,,,,
,,halten,,,,,,
,,Sekt,,,,,,
,,Sekte,,,,,,
,,Schlange,,,,,,
,,Schlange stehen,Faire la file (ex: à la caisse),,,,Expression,
,,,,,,,,
,,,,,,,,